April 15, 2025	Legacy Decentralized	Routine Deployment	Initial introduction of the SysAdmin team to Kubernetes deployments. Manual creation of pipelines for each application environment (Dev, UAT, and Prod). Frequent syntax errors resulted in pipeline execution failures.	3:53:12	3
April 16, 2025	Legacy Decentralized	Critical Bug Fix	Invalid memory request limits resulted in Out-Of-Memory (OOM) Killed statuses across all previously deployed applications. The SysAdmin team struggled to diagnose the issue due to a knowledge gap in Kubernetes resource management.	1:10:39	0
April 28, 2025	Legacy Decentralized	Routine Deployment	Continued deployment of non-critical applications to Staging, Prod, and UAT environments. Image build failures occurred due to syntax errors, later attributed to non-standardized build paths for application .dll files.	4:12:53	3
April 29, 2025	Legacy Decentralized	Critical Bug Fix	Modifications to the build path introduced a cascading failure, halting subsequent deployments due to invalid Bash variable expansion syntax (utilizing ${} instead of $()).	0:54:23	0
May 6, 2025	Legacy Decentralized	Routine Deployment	Deployment of a lower-priority application failed due to an invalid repository name containing an underscore, which violates Kubernetes namespace naming conventions. This also caused Docker build failures; the SysAdmin team misdiagnosed the root cause as an invalid Dockerfile, exacerbating the incident.	3:12:00	3
May 28, 2025	Legacy Decentralized	Routine Deployment	Initial deployment of a Python application. Build failures occurred due to missing dependencies in the Dockerfile, highlighting a lack of standardization for new technology stacks.	2:51:21	3
May 29, 2025	Legacy Decentralized	Critical Bug Fix	Deployment failures occurred due to the DevOps team overlooking the inotify instance limit (capped at 512) on the virtual machine. Subsequent pods failed to deploy due to exhausted instances, a setting not disabled by the .NET applications.	1:23:45	0
June 10, 2025	Legacy Decentralized	Routine Deployment	Deployment of two applications resulted in one becoming inaccessible. The application bound to the loopback address (127.0.0.1) instead of 0.0.0.0, caused by a non-standardized secrets.json configuration.	2:30:53	6
June 26, 2025	Legacy Decentralized	Routine Deployment	Deployment of two applications proceeded with relatively few errors, though minor Bash syntax issues caused the pipeline to fail multiple times before success.	2:11:38	6
June 27, 2025	Legacy Decentralized	Critical Bug Fix	A mandatory update for the Azure Windows agent virtual machine required the SysAdmin team to manually update all previously deployed applications to utilize the new 2022 version to maintain operability.	0:30:49	0
July 7, 2025	Legacy Decentralized	Routine Deployment	Successful deployment of two applications with no recorded issues.	1:59:36	6
July 21, 2025	Legacy Decentralized	Routine Deployment	Deployment of two applications completed successfully, aside from minor Bash syntax errors and invalid parameter configurations.	1:40:47	6
August 11, 2025	Legacy Decentralized	Routine Deployment	Deployment of a backend application utilizing a newer .NET version necessitated manual modifications and adjustments to the Docker image.	1:21:03	3
August 12, 2025	Legacy Decentralized	Critical Bug Fix	The updated .NET version introduced incompatibilities within the production environment, resulting in excessive memory consumption by the deployed pods.	1:10:11	0
August 20, 2025	Legacy Decentralized	Routine Deployment	Deployment of a .NET application failed due to an undocumented dependency. The development team was unaware of the issue due to environmental discrepancies (developing on Windows while containers utilized Linux). The SysAdmin team required an overnight effort to resolve the bug.	7:34:58	3
September 8, 2025	Legacy Decentralized	Routine Deployment	Successful deployment of an application with no recorded issues.	1:30:44	3
September 22, 2025	Legacy Decentralized	Routine Deployment	Successful deployment of an application; configuration was expedited due to similarities with previous deployments.	1:00:02	3
October 7, 2025	Transition	Sharing Session	Initial introduction and overview of the centralized CI/CD architecture to the team.	0:50:30	0
October 9, 2025	Transition	Sharing Session	Configuration training session conducted, instructing the SysAdmin team on the new standardized deployment methodologies.	0:56:58	0
October 13, 2025	Transition	Sharing Session	Practical, hands-on deployment training utilizing the newly implemented centralized CI/CD tooling.	1:25:09	0
October 28, 2025	Legacy Decentralized	Routine Deployment	Resistance observed from the SysAdmin team regarding the adoption of the centralized CI/CD tooling, citing perceived incompatibilities with specific deployment criteria.	1:43:44	3
November 4, 2025	Centralized	Routine Deployment	First deployment utilizing the centralized CI/CD pipeline. The process was delayed due to an unhandled edge case in the central pipeline code and the initial setup of agents across Dev, UAT, and Prod environments.	1:35:01	3
November 5, 2025	Centralized	Critical Bug Fix	A pipeline failure in the centralized CI/CD system caused a newly deployed application to fail, resulting from an invalid Bash variable path expansion.	1:05:34	0
November 6, 2025	Centralized	Routine Deployment	Successful deployment utilizing the centralized CI/CD pipeline with no major issues encountered.	0:30:23	3
November 12, 2025	Centralized	Routine Deployment	Successful migration of a previously deployed application to the new Helm chart and centralized CI/CD architecture. No issues recorded.	0:20:53	3
November 13, 2025	Centralized	Routine Deployment	Successful migration of a previously deployed application to the new Helm chart and centralized CI/CD architecture. No issues recorded.	0:21:19	3
November 17, 2025	Centralized	Routine Deployment	Successful migration of a previously deployed application to the new Helm chart and centralized CI/CD architecture. No issues recorded.	0:19:55	6
November 20, 2025	Centralized	Routine Deployment	Successful migration of a previously deployed application to the new Helm chart and centralized CI/CD architecture. No issues recorded.	0:10:35	6
November 21, 2025	Centralized	Critical Bug Fix	An invalid envsubst command caused the Helm chart manifest to omit a critical Ingress NGINX configuration. This resulted in excessively large upload sizes, leading to high memory consumption.	2:25:50	0
November 24, 2025	Centralized	Routine Deployment	Successful migration of a previously deployed application to the new Helm chart and centralized CI/CD architecture. No issues recorded.	0:13:36	6
November 27, 2025	Centralized	Routine Deployment	Successful deployment of additional applications utilizing the centralized CI/CD pipeline.	0:15:04	6
December 8, 2025	Centralized	Vulnerability	Remediation of the React2Shell CVE-10 vulnerability. A Bash script was implemented to enforce the latest React patch within package.json. Due to the centralized architecture, the fix was applied solely to the central repositories, automatically propagating to all dependent applications.	2:43:35	0
December 9, 2025	Centralized	Routine Deployment	Successful deployment of additional applications utilizing the centralized CI/CD pipeline.	0:53:40	6
December 11, 2025	Centralized	Routine Deployment	Successful deployment of additional applications utilizing the centralized CI/CD pipeline.	0:10:25	6
December 15, 2025	Centralized	Critical Bug Fix	Deployment issues arose due to overly strict Zod schema parsing on date formats, causing temporal validations to fail. This impacted the application's configurable cleaning system, which sweeps data after a specified YAML-configured duration. This was one of the cases where centralized approach took down the entire pipeline due to its single point of failure case	1:33:04	0
January 12, 2026	Centralized	Routine Deployment	Successful deployment of additional applications utilizing the centralized CI/CD pipeline.	0:15:10	6
January 15, 2026	Centralized	Routine Deployment	Successful deployment of additional applications utilizing the centralized CI/CD pipeline.	0:11:33	6
January 19, 2026	Centralized	Routine Deployment	Successful deployment of additional applications utilizing the centralized CI/CD pipeline.	0:13:35	9
January 22, 2026	Centralized	Routine Deployment	Successful deployment of additional applications utilizing the centralized CI/CD pipeline.	0:12:12	6
					
